Year,County,Violent_sum,Property_sum
2016,Alameda County,589,2195
2016,Alameda County,151,2020
2016,Alameda County,29,533
2016,Alameda County,602,5420
2016,Alameda County,132,1721
2016,Alameda County,420,4715
2016,Alameda County,631,4641
2016,Alameda County,174,2284
2016,Alameda County,108,1186
2016,Alameda County,6059,23952
2016,Alameda County,32,200
2016,Alameda County,100,1604
2016,Alameda County,487,3530
2016,Alameda County,281,1897
2016,Alameda County,13,110
2016,Alameda County,3,75
2016,Alameda County,0,3
2016,Alameda County,184,1560
2016,Alameda County,87,1097
2016,Alameda County,0,27
2016,Alameda County,44,699
2016,Alameda County,1,275
2016,Alpine County,6,34
2016,Alpine County,0,0
2016,Amador County,53,371
2016,Amador County,4,49
2016,Amador County,30,156
2016,Amador County,5,55
2016,Amador County,0,0
2016,Amador County,0,38
2016,Butte County,183,1344
2016,Butte County,16,29
2016,Butte County,293,3290
2016,Butte County,104,196
2016,Butte County,141,1330
2016,Butte County,45,502
2016,Butte County,0,6
2016,Butte County,0,15
2016,Butte County,8,256
2016,Butte County,0,339
2016,Calaveras County,169,535
2016,Calaveras County,9,37
2016,Calaveras County,0,0
2016,Calaveras County,0,0
2016,Calaveras County,0,84
2016,Colusa County,31,186
2016,Colusa County,9,100
2016,Colusa County,6,61
2016,Colusa County,0,0
2016,Colusa County,0,10
2016,Contra Costa County,347,1485
2016,Contra Costa County,760,3690
2016,Contra Costa County,130,1285
2016,Contra Costa County,4,146
2016,Contra Costa County,447,4337
2016,Contra Costa County,137,1064
2016,Contra Costa County,53,392
2016,Contra Costa County,61,892
2016,Contra Costa County,278,1975
2016,Contra Costa County,79,1510
2016,Contra Costa County,1019,3785
2016,Contra Costa County,213,1214
2016,Contra Costa County,78,2120
2016,Contra Costa County,3,56
2016,Contra Costa County,51,858
2016,Contra Costa County,13,394
2016,Contra Costa County,10,143
2016,Contra Costa County,10,146
2016,Contra Costa County,79,774
2016,Contra Costa County,7,230
2016,Contra Costa County,9,365
2016,Contra Costa County,39,823
2016,Contra Costa County,10,156
2016,Contra Costa County,0,1
2016,Contra Costa County,55,419
2016,Contra Costa County,3,679
2016,Del Norte County,115,355
2016,Del Norte County,53,147
2016,Del Norte County,0,106
2016,El Dorado County,291,2085
2016,El Dorado County,27,370
2016,El Dorado County,71,430
2016,El Dorado County,0,0
2016,El Dorado County,0,157
2016,Fresno County,1177,3798
2016,Fresno County,255,2973
2016,Fresno County,130,293
2016,Fresno County,13,111
2016,Fresno County,35,116
2016,Fresno County,3206,20523
2016,Fresno County,54,93
2016,Fresno County,35,374
2016,Fresno County,27,346
2016,Fresno County,97,150
2016,Fresno County,39,153
2016,Fresno County,103,256
2016,Fresno County,190,499
2016,Fresno County,126,564
2016,Fresno County,298,827
2016,Fresno County,6,139
2016,Fresno County,0,2
2016,Fresno County,2,1
2016,Fresno County,15,337
2016,Fresno County,0,225
2016,Fresno County,173,4
2016,Glenn County,34,159
2016,Glenn County,27,145
2016,Glenn County,42,222
2016,Glenn County,0,0
2016,Glenn County,0,33
2016,Humboldt County,265,773
2016,Humboldt County,82,667
2016,Humboldt County,255,1521
2016,Humboldt County,7,25
2016,Humboldt County,60,458
2016,Humboldt County,7,40
2016,Humboldt County,6,112
2016,Humboldt County,0,0
2016,Humboldt County,0,33
2016,Humboldt County,0,372
2016,Imperial County,161,453
2016,Imperial County,125,941
2016,Imperial County,164,1267
2016,Imperial County,205,2314
2016,Imperial County,12,82
2016,Imperial County,7,73
2016,Imperial County,2,9
2016,Imperial County,0,6
2016,Imperial County,0,50
2016,Inyo County,85,158
2016,Inyo County,29,156
2016,Inyo County,0,0
2016,Inyo County,0,20
2016,Kern County,2403,10440
2016,Kern County,191,634
2016,Kern County,1821,17138
2016,Kern County,264,1552
2016,Kern County,33,207
2016,Kern County,149,565
2016,Kern County,42,567
2016,Kern County,73,355
2016,Kern County,52,273
2016,Kern County,91,390
2016,Kern County,2,17
2016,Kern County,5,61
2016,Kern County,0,21
2016,Kern County,1,59
2016,Kern County,1,291
2016,Kings County,157,426
2016,Kings County,68,404
2016,Kings County,266,1496
2016,Kings County,98,501
2016,Kings County,0,0
2016,Kings County,18,8
2016,Kings County,32,176
2016,Kings County,0,156
2016,Lake County,179,635
2016,Lake County,47,206
2016,Lake County,149,677
2016,Lake County,4,228
2016,Lassen County,43,202
2016,Lassen County,181,282
2016,Lassen County,0,0
2016,Lassen County,1,29
2016,Los Angeles County,6124,17498
2016,Los Angeles County,146,2107
2016,Los Angeles County,83,1642
2016,Los Angeles County,89,622
2016,Los Angeles County,10,37
2016,Los Angeles County,175,1139
2016,Los Angeles County,291,1514
2016,Los Angeles County,233,782
2016,Los Angeles County,392,1990
2016,Los Angeles County,155,942
2016,Los Angeles County,3,103
2016,Los Angeles County,4,109
2016,Los Angeles County,1,229
2016,Los Angeles County,3,22
2016,Los Angeles County,4,83
2016,Los Angeles County,16,204
2016,Los Angeles County,106,1416
2016,Los Angeles County,0,6
2016,Los Angeles County,210,2927
2016,Los Angeles County,59,960
2016,Los Angeles County,130,1223
2016,Los Angeles County,1129,2528
2016,Los Angeles County,164,1289
2016,Los Angeles County,76,246
2016,Los Angeles County,213,2060
2016,Los Angeles County,111,2264
2016,Los Angeles County,15,253
2016,Los Angeles County,275,1601
2016,Los Angeles County,331,3005
2016,Los Angeles County,66,931
2016,Los Angeles County,373,3371
2016,Los Angeles County,72,373
2016,Los Angeles County,448,2501
2016,Los Angeles County,53,731
2016,Los Angeles County,338,1482
2016,Los Angeles County,227,3450
2016,Los Angeles County,70,1361
2016,Los Angeles County,73,305
2016,Los Angeles County,654,2533
2016,Los Angeles County,47,539
2016,Los Angeles County,15,291
2016,Los Angeles County,38,402
2016,Los Angeles County,734,975
2016,Los Angeles County,1,16
2016,Los Angeles County,463,1988
2016,Los Angeles County,96,1175
2016,Los Angeles County,830,2456
2016,Los Angeles County,18,206
2016,Los Angeles County,223,2521
2016,Los Angeles County,85,889
