Year,County,NCICCode,Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum
2016,Alameda County,Alameda Co. Sheriff's Department,589,8,30,204,347,2195,490,601,1104
2016,Alameda County,Alameda,151,1,8,68,74,2020,226,443,1351
2016,Alameda County,Albany,29,0,0,24,5,533,62,45,426
2016,Alameda County,Berkeley,602,2,54,361,185,5420,805,650,3965
2016,Alameda County,Emeryville,132,0,3,97,32,1721,126,146,1449
2016,Alameda County,Fremont,420,0,59,184,177,4715,923,795,2997
2016,Alameda County,Hayward,631,13,66,348,204,4641,707,1626,2308
2016,Alameda County,Livermore,174,1,26,59,88,2284,255,290,1739
2016,Alameda County,Newark,108,1,15,45,47,1186,237,239,710
2016,Alameda County,Oakland,6059,85,277,3076,2621,23952,2900,6899,14153
2016,Alameda County,Piedmont,32,0,5,17,10,200,66,25,109
2016,Alameda County,Pleasanton,100,0,12,44,44,1604,208,136,1260
2016,Alameda County,San Leandro,487,3,31,280,173,3530,499,961,2070
2016,Alameda County,Union City,281,1,12,111,157,1897,298,341,1258
2016,Alameda County,Alameda E. Bay Reg. Park Dist.,13,0,3,1,9,110,0,7,103
2016,Alameda County,CSU East Bay,3,0,2,1,0,75,11,2,62
2016,Alameda County,Union Pacific RR - Alameda,0,0,0,0,0,3,1,0,2
2016,Alameda County,Alameda BART,184,1,1,148,34,1560,5,349,1206
2016,Alameda County,Dublin,87,0,8,31,48,1097,133,127,837
2016,Alameda County,Alameda E. Bay Mun. Util. Dist.,0,0,0,0,0,27,0,2,25
2016,Alameda County,UC Berkeley,44,0,16,13,15,699,41,37,621
2016,Alameda County,CA Highway Patrol - Alameda,1,0,0,0,1,275,0,201,74
2016,Alpine County,Alpine Co. Sheriff's Department,6,0,0,0,6,34,7,1,26
2016,Alpine County,CA Highway Patrol - Alpine,0,0,0,0,0,0,0,0,0
2016,Amador County,Amador Co. Sheriff's Department,53,0,6,8,39,371,142,4,225
2016,Amador County,Ione,4,0,1,0,3,49,6,6,37
2016,Amador County,Jackson,30,0,1,4,25,156,49,13,94
2016,Amador County,Sutter Creek,5,0,0,1,4,55,15,5,35
2016,Amador County,Union Pacific RR - Amador,0,0,0,0,0,0,0,0,0
2016,Amador County,CA Highway Patrol - Amador,0,0,0,0,0,38,0,33,5
2016,Butte County,Butte Co. Sheriff's Department,183,3,34,28,118,1344,656,22,666
2016,Butte County,Biggs,16,0,2,0,14,29,9,4,16
2016,Butte County,Chico,293,0,66,57,170,3290,499,455,2336
2016,Butte County,Gridley,104,0,3,1,100,196,42,22,132
2016,Butte County,Oroville,141,0,15,43,83,1330,282,182,866
2016,Butte County,Paradise,45,1,7,8,29,502,250,74,178
2016,Butte County,Union Pacific RR - Butte,0,0,0,0,0,6,2,0,4
2016,Butte County,Northern Buttes DPR,0,0,0,0,0,15,1,1,13
2016,Butte County,CSU Chico,8,0,6,1,1,256,12,11,233
2016,Butte County,CA Highway Patrol - Butte,0,0,0,0,0,339,2,250,87
2016,Calaveras County,Calaveras Co. Sheriff's Department,169,3,26,16,124,535,183,11,341
2016,Calaveras County,Angels Camp,9,0,2,0,7,37,8,6,23
2016,Calaveras County,Union Pacific RR - Calaveras,0,0,0,0,0,0,0,0,0
2016,Calaveras County,Calaveras DPR,0,0,0,0,0,0,0,0,0
2016,Calaveras County,CA Highway Patrol - Calaveras,0,0,0,0,0,84,0,80,4
2016,Colusa County,Colusa Co. Sheriff's Department,31,0,2,6,23,186,78,0,108
2016,Colusa County,Colusa,9,0,1,2,6,100,26,17,57
2016,Colusa County,Williams,6,0,2,0,4,61,17,4,40
2016,Colusa County,Union Pacific RR - Colusa,0,0,0,0,0,0,0,0,0
2016,Colusa County,CA Highway Patrol - Colusa,0,0,0,0,0,10,0,5,5
2016,Contra Costa County,Contra Costa Co. Sheriff's Department,347,9,25,108,205,1485,505,23,957
2016,Contra Costa County,Antioch,760,9,55,293,403,3690,762,916,2012
2016,Contra Costa County,Brentwood,130,0,17,50,63,1285,146,159,980
2016,Contra Costa County,Clayton,4,0,0,3,1,146,26,13,107
2016,Contra Costa County,Concord,447,1,31,159,256,4337,521,1023,2793
2016,Contra Costa County,El Cerrito,137,1,6,78,52,1064,126,107,831
2016,Contra Costa County,Hercules,53,1,0,11,41,392,74,52,266
2016,Contra Costa County,Pinole,61,0,4,31,26,892,76,85,731
2016,Contra Costa County,Pittsburg,278,7,42,116,113,1975,339,675,961
2016,Contra Costa County,Pleasant Hill,79,0,3,43,33,1510,146,185,1179
2016,Contra Costa County,Richmond,1019,21,72,364,562,3785,645,1233,1907
2016,Contra Costa County,San Pablo,213,2,22,90,99,1214,213,425,576
2016,Contra Costa County,Walnut Creek,78,1,1,30,46,2120,275,234,1611
2016,Contra Costa County,Kensington,3,0,0,0,3,56,20,0,36
2016,Contra Costa County,Martinez,51,0,3,21,27,858,112,324,422
2016,Contra Costa County,Lafayette,13,0,5,5,3,394,65,41,288
2016,Contra Costa County,Moraga,10,0,1,2,7,143,24,24,95
2016,Contra Costa County,Contra Costa E. Bay Reg. Park Dist.,10,0,0,3,7,146,0,3,143
2016,Contra Costa County,Contra Costa BART,79,0,4,49,26,774,2,174,598
2016,Contra Costa County,Contra Costa Community. College,7,0,0,5,2,230,20,29,181
2016,Contra Costa County,Danville,9,1,3,0,5,365,68,33,264
2016,Contra Costa County,San Ramon,39,0,9,12,18,823,140,67,616
2016,Contra Costa County,Orinda,10,0,0,4,6,156,35,11,110
2016,Contra Costa County,Union Pacific RR - Contra Costa,0,0,0,0,0,1,0,0,1
2016,Contra Costa County,Oakley,55,0,6,24,25,419,77,121,221
2016,Contra Costa County,CA Highway Patrol - Contra Costa,3,0,0,0,3,679,0,677,2
2016,Del Norte County,Del Norte Co. Sheriff's Department,115,0,30,11,74,355,251,8,96
2016,Del Norte County,Crescent City,53,0,2,6,45,147,39,17,91
2016,Del Norte County,CA Highway Patrol - Del Norte,0,0,0,0,0,106,0,105,1
2016,El Dorado County,El Dorado Co. Sheriff's Department,291,1,53,37,200,2085,512,39,1534
2016,El Dorado County,Placerville,27,0,6,9,12,370,76,32,262
2016,El Dorado County,South Lake Tahoe,71,1,12,23,35,430,90,43,297
2016,El Dorado County,Union Pacific RR - El Dorado,0,0,0,0,0,0,0,0,0
2016,El Dorado County,CA Highway Patrol - El Dorado,0,0,0,0,0,157,2,91,64
2016,Fresno County,Fresno Co. Sheriff's Department,1177,12,29,82,1054,3798,1625,705,1468
2016,Fresno County,Clovis,255,2,35,72,146,2973,434,202,2337
2016,Fresno County,Coalinga,130,0,10,7,113,293,90,21,182
2016,Fresno County,Firebaugh,13,0,7,3,3,111,37,17,57
2016,Fresno County,Fowler,35,0,3,4,28,116,36,25,55
2016,Fresno County,Fresno,3206,39,158,1122,1887,20523,3697,3284,13542
2016,Fresno County,Huron,54,1,3,8,42,93,43,14,36
2016,Fresno County,Kerman,35,0,4,7,24,374,74,57,243
2016,Fresno County,Kingsburg,27,0,3,8,16,346,116,104,126
2016,Fresno County,Mendota,97,4,7,12,74,150,33,32,85
2016,Fresno County,Orange Cove,39,1,1,3,34,153,30,56,67
2016,Fresno County,Parlier,103,0,11,13,79,256,75,81,100
2016,Fresno County,Reedley,190,0,10,19,161,499,154,80,265
2016,Fresno County,Sanger,126,3,9,17,97,564,161,88,315
2016,Fresno County,Selma,298,1,18,28,251,827,197,183,447
2016,Fresno County,State Ctr Comm College,6,0,0,3,3,139,18,8,113
2016,Fresno County,Union Pacific RR - Fresno,0,0,0,0,0,2,0,0,2
2016,Fresno County,San Joaquin DPR,2,0,0,0,2,1,0,0,1
2016,Fresno County,CSU Fresno,15,0,5,5,5,337,62,30,245
2016,Fresno County,CA Highway Patrol - Fresno,0,0,0,0,0,225,0,198,27
2016,Fresno County,Coalinga State Hospital,173,0,1,0,172,4,1,0,3
2016,Glenn County,Glenn Co. Sheriff's Department,34,1,0,1,32,159,60,3,96
2016,Glenn County,Orland,27,0,5,5,17,145,30,19,96
2016,Glenn County,Willows,42,0,2,5,35,222,32,20,170
2016,Glenn County,Union Pacific RR - Glenn,0,0,0,0,0,0,0,0,0
2016,Glenn County,CA Highway Patrol - Glenn,0,0,0,0,0,33,0,28,5
2016,Humboldt County,Humboldt Co. Sheriff's Department,265,9,22,57,177,773,366,22,385
2016,Humboldt County,Arcata,82,0,6,22,54,667,129,77,461
2016,Humboldt County,Eureka,255,1,24,76,154,1521,424,243,854
2016,Humboldt County,Ferndale,7,0,1,1,5,25,7,2,16
2016,Humboldt County,Fortuna,60,2,5,8,45,458,59,31,368
2016,Humboldt County,Rio Dell,7,0,0,1,6,40,9,9,22
2016,Humboldt County,CSU Humboldt (Arcata),6,0,4,2,0,112,5,0,107
2016,Humboldt County,Union Pacific RR - Humboldt,0,0,0,0,0,0,0,0,0
2016,Humboldt County,Northern Coast Redwoods DPR,0,0,0,0,0,33,5,1,27
2016,Humboldt County,CA Highway Patrol - Humboldt,0,0,0,0,0,372,0,319,53
2016,Imperial County,Imperial Co. Sheriff's Department,161,2,8,12,139,453,129,26,298
2016,Imperial County,Brawley,125,0,4,11,110,941,170,79,692
2016,Imperial County,Calexico,164,0,3,38,123,1267,321,236,710
2016,Imperial County,El Centro,205,1,19,55,130,2314,506,139,1669
2016,Imperial County,Holtville,12,0,0,1,11,82,28,13,41
2016,Imperial County,Imperial,7,0,0,1,6,73,7,6,60
2016,Imperial County,Westmorland,2,0,0,0,2,9,4,2,3
2016,Imperial County,Union Pacific RR - Imperial,0,0,0,0,0,6,0,0,6
2016,Imperial County,CA Highway Patrol - Imperial,0,0,0,0,0,50,0,46,4
2016,Inyo County,Inyo Co. Sheriff's Department,85,0,7,5,73,158,67,7,84
2016,Inyo County,Bishop,29,1,1,5,22,156,31,11,114
2016,Inyo County,Union Pacific RR - Inyo,0,0,0,0,0,0,0,0,0
2016,Inyo County,CA Highway Patrol - Inyo,0,0,0,0,0,20,0,15,5
2016,Kern County,Kern Co. Sheriff's Department,2403,44,177,443,1739,10440,3161,2170,5109
2016,Kern County,Arvin,191,2,3,17,169,634,170,185,279
2016,Kern County,Bakersfield,1821,32,67,614,1108,17138,3887,3048,10203
2016,Kern County,Delano,264,7,9,26,222,1552,305,468,779
2016,Kern County,McFarland,33,1,2,4,26,207,76,53,78
2016,Kern County,Ridgecrest,149,0,24,21,104,565,176,72,317
2016,Kern County,Shafter,42,1,7,6,28,567,174,144,249
2016,Kern County,Taft,73,0,3,6,64,355,80,26,249
2016,Kern County,Tehachapi,52,0,6,8,38,273,89,23,161
2016,Kern County,California City,91,1,9,21,60,390,215,23,152
2016,Kern County,Stallion Springs,2,0,0,0,2,17,4,0,13
2016,Kern County,Bear Valley,5,0,0,0,5,61,4,1,56
2016,Kern County,Union Pacific RR - Kern,0,0,0,0,0,21,5,0,16
2016,Kern County,CSU Bakersfield,1,0,0,0,1,59,4,2,53
2016,Kern County,CA Highway Patrol - Kern,1,0,0,0,1,291,1,262,28
2016,Kings County,Kings Co. Sheriff's Department,157,4,16,16,121,426,164,26,236
2016,Kings County,Corcoran,68,2,10,7,49,404,114,74,216
2016,Kings County,Hanford,266,2,21,44,199,1496,222,215,1059
2016,Kings County,Lemoore,98,0,20,10,68,501,111,82,308
2016,Kings County,Union Pacific RR - Kings,0,0,0,0,0,0,0,0,0
2016,Kings County,Porterville Developmental Center,18,0,0,0,18,8,2,0,6
2016,Kings County,Avenal,32,3,5,3,21,176,86,18,72
2016,Kings County,CA Highway Patrol - Kings,0,0,0,0,0,156,0,122,34
2016,Lake County,Lake Co. Sheriff's Department,179,2,17,15,145,635,337,15,283
2016,Lake County,Lakeport,47,0,3,14,30,206,50,14,142
2016,Lake County,Clearlake,149,1,19,37,92,677,237,104,336
2016,Lake County,CA Highway Patrol - Lake,4,0,0,0,4,228,3,207,18
2016,Lassen County,Lassen Co. Sheriff's Department,43,1,4,2,36,202,87,1,114
2016,Lassen County,Susanville,181,0,9,11,161,282,68,21,193
2016,Lassen County,Union Pacific RR - Lassen,0,0,0,0,0,0,0,0,0
2016,Lassen County,CA Highway Patrol - Lassen,1,0,0,0,1,29,0,21,8
2016,Los Angeles County,Los Angeles Co. Sheriff's Department,6124,94,307,1474,4249,17498,3816,4354,9328
2016,Los Angeles County,Alhambra,146,0,9,73,64,2107,422,238,1447
2016,Los Angeles County,Arcadia,83,2,4,44,33,1642,520,77,1045
2016,Los Angeles County,Artesia,89,2,1,30,56,622,198,74,350
2016,Los Angeles County,Avalon,10,0,2,0,8,37,2,1,34
2016,Los Angeles County,Azusa,175,1,18,46,110,1139,261,183,695
