County,Violent_sum_pre100K,Property_sum_pre100K,Officers_pre10K
San Mateo County,2.321666054,21.16069311,10.7700298
Contra Costa County,4.960055467,36.85212969,11.34636565
Los Angeles County,7.545336097,33.7725125,19.18771029
San Joaquin County,11.18742296,42.15823383,11.606602
San Bernardino County,10.12648224,53.13960787,10.71749195
Yolo County,3.532465406,29.67492066,10.50341827
Orange County,3.39549212,30.82966825,10.09079583
Sonoma County,6.687754841,27.90383364,10.34668709
Stanislaus County,10.10205789,53.77560107,10.14407476
Butte County,6.701830033,61.98768614,8.907495613
Riverside County,7.556976433,66.29783018,9.619999542
Sutter County,5.330769231,39.8475,7.7
San Luis Obispo County,10.1462907,60.85044476,10.37378601
Imperial County,6.119057435,47.02441327,9.685490318
Solano County,5.154642266,29.87500134,9.610782068
San Diego County,4.643086869,25.9951855,11.769774
Santa Clara County,3.211041927,25.34076367,9.888327529
Santa Barbara County,6.284365102,40.24545274,12.18187341
Alameda County,7.178126615,42.34719033,12.51759811
Ventura County,4.59647174,34.42111479,10.56852991
Monterey County,9.371007395,53.46926063,8.794963032
Napa County,7.366666667,31.09275362,8.5
Santa Cruz County,9.251850574,79.70372633,13.5290458
Sacramento County,8.512006737,43.03879279,11.44619473
Shasta County,14.55418367,60.71704081,10.7
San Benito County,4.075925926,14.27888889,7.100000001
Fresno County,7.278295413,38.67803736,12.78964802
Tulare County,8.279021309,59.5337832,10.65769534
Merced County,9.901484342,50.9580424,10.18096172
Kern County,11.13902953,70.74847733,10.25277289
Humboldt County,25.24851064,148.1221277,17.4
Kings County,4.622844588,22.91165698,10.41767794
Placer County,2.566053986,29.20846016,8.250977445
San Francisco County,6.686979127,51.66648715,25.34417356
Marin County,3.146156764,32.95185242,10.73005044
Madera County,15.872,57.4275,9.3
