Year,County,Violent_sum,Property_sum
1985,Alameda County,427,3964
1985,Alameda County,405,4486
1985,Alameda County,101,634
1985,Alameda County,1164,12035
1985,Alameda County,146,971
1985,Alameda County,614,6053
1985,Alameda County,671,6774
1985,Alameda County,185,2364
1985,Alameda County,199,2071
1985,Alameda County,6703,36120
1985,Alameda County,33,340
1985,Alameda County,72,1539
1985,Alameda County,411,4373
1985,Alameda County,231,2582
1985,Alameda County,22,121
1985,Alameda County,0,154
1985,Alameda County,93,1456
1985,Alameda County,0,150
1985,Alameda County,3,78
1985,Alameda County,0,14
1985,Alameda County,23,226
1985,Alameda County,38,679
1985,Alameda County,1,20
1985,Alameda County,0,42
1985,Alameda County,56,1856
1985,Alameda County,17,140
1985,Alameda County,13,55
1985,Alpine County,8,287
1985,Alpine County,0,1
1985,Amador County,67,299
1985,Amador County,12,52
1985,Amador County,0,136
1985,Amador County,0,14
1985,Amador County,0,60
1985,Amador County,0,0
1985,Amador County,0,14
1985,Butte County,258,3221
1985,Butte County,4,82
1985,Butte County,149,2519
1985,Butte County,56,391
1985,Butte County,92,1050
1985,Butte County,49,551
1985,Butte County,0,1
1985,Butte County,0,90
1985,Butte County,2,378
1985,Butte County,3,34
1985,Butte County,1,165
1985,Calaveras County,195,796
1985,Calaveras County,19,98
1985,Calaveras County,0,1
1985,Calaveras County,0,0
1985,Calaveras County,0,27
1985,Colusa County,35,363
1985,Colusa County,2,189
1985,Colusa County,11,66
1985,Colusa County,0,1
1985,Colusa County,0,6
1985,Contra Costa County,528,6053
1985,Contra Costa County,191,2837
1985,Contra Costa County,13,212
1985,Contra Costa County,2,87
1985,Contra Costa County,406,6102
1985,Contra Costa County,186,1609
1985,Contra Costa County,44,214
1985,Contra Costa County,88,874
1985,Contra Costa County,643,2323
1985,Contra Costa County,90,1719
1985,Contra Costa County,1960,7493
1985,Contra Costa County,407,2647
1985,Contra Costa County,117,2537
1985,Contra Costa County,3,86
1985,Contra Costa County,64,1344
1985,Contra Costa County,20,646
1985,Contra Costa County,7,245
1985,Contra Costa County,12,87
1985,Contra Costa County,47,820
1985,Contra Costa County,16,23
1985,Contra Costa County,6,10
1985,Contra Costa County,6,245
1985,Contra Costa County,22,783
1985,Contra Costa County,21,770
1985,Contra Costa County,0,12
1985,Contra Costa County,2,31
1985,Contra Costa County,0,563
1985,Del Norte County,69,577
1985,Del Norte County,37,352
1985,Del Norte County,0,29
1985,El Dorado County,143,2341
1985,El Dorado County,26,503
1985,El Dorado County,123,1588
1985,El Dorado County,0,0
1985,El Dorado County,0,20
1985,El Dorado County,0,125
1985,Fresno County,3,83
1986,Fresno County,6,94
1987,Fresno County,4,86
1988,Fresno County,3,103
1989,Fresno County,2,100
1990,Fresno County,6,118
1991,Fresno County,0,143
1992,Fresno County,2,154
1993,Fresno County,2,147
1994,Fresno County,4,105
1995,Fresno County,0,150
1996,Fresno County,4,280
1997,Fresno County,6,123
1998,Fresno County,7,161
1999,Fresno County,5,126
2000,Fresno County,2,133
2001,Fresno County,0,197
2002,Fresno County,0,105
2003,Fresno County,0,154
2004,Fresno County,1,132
1985,Glenn County,68,215
1985,Glenn County,14,298
1985,Glenn County,9,282
1985,Glenn County,0,0
1985,Glenn County,3,9
1985,Humboldt County,179,1674
1985,Humboldt County,53,725
1985,Humboldt County,155,2602
1985,Humboldt County,5,34
1985,Humboldt County,73,409
1985,Humboldt County,23,98
1985,Humboldt County,5,217
1985,Humboldt County,0,0
1985,Humboldt County,1,65
1985,Humboldt County,1,48
1985,Humboldt County,0,70
1985,Imperial County,150,1679
1985,Imperial County,144,1512
1985,Imperial County,93,1807
1985,Imperial County,157,3412
1985,Imperial County,3,329
1985,Imperial County,6,227
1985,Imperial County,12,53
1985,Imperial County,0,0
1985,Imperial County,0,12
1985,Imperial County,0,0
1985,Imperial County,0,72
1985,Inyo County,43,323
1985,Inyo County,7,144
1985,Inyo County,0,0
1985,Inyo County,0,14
1985,Kern County,1715,13762
1985,Kern County,74,384
1985,Kern County,1202,11719
1985,Kern County,116,824
1985,Kern County,14,31
1985,Kern County,25,169
1985,Kern County,138,806
1985,Kern County,42,488
1985,Kern County,41,352
1985,Kern County,6,126
1985,Kern County,30,89
1985,Kern County,47,301
1985,Kern County,0,2
1985,Kern County,1,16
1985,Kern County,12,13
1985,Kern County,2,13
1985,Kern County,1,69
1985,Kern County,0,17
1985,Kern County,5,207
1985,Kings County,278,1333
1985,Kings County,46,460
1985,Kings County,99,1680
1985,Kings County,37,522
1985,Kings County,0,6
1985,Kings County,0,0
1985,Kings County,1,24
1985,Kings County,0,1
1985,Kings County,1,84
1985,Lake County,333,1137
1985,Lake County,30,291
1985,Lake County,40,976
1985,Lake County,0,15
1985,Lake County,0,61
1985,Lassen County,72,233
1985,Lassen County,75,296
1985,Lassen County,0,0
1985,Lassen County,0,0
1985,Lassen County,0,27
1985,Los Angeles County,10624,38794
1985,Los Angeles County,469,3679
1985,Los Angeles County,160,2193
1985,Los Angeles County,110,474
1985,Los Angeles County,10,173
1985,Los Angeles County,236,2122
1985,Los Angeles County,407,2686
1985,Los Angeles County,260,1054
1985,Los Angeles County,416,2482
1985,Los Angeles County,441,1626
1985,Los Angeles County,20,109
1985,Los Angeles County,40,73
1985,Los Angeles County,29,77
1985,Los Angeles County,43,308
1985,Los Angeles County,1,92
1985,Los Angeles County,13,205
1985,Los Angeles County,307,2456
1985,Los Angeles County,1,20
1985,Los Angeles County,331,3612
1985,Los Angeles County,102,1559
1985,Los Angeles County,193,2047
1985,Los Angeles County,2530,5325
1985,Los Angeles County,265,1907
1985,Los Angeles County,119,685
1985,Los Angeles County,374,2854
1985,Los Angeles County,256,2919
1985,Los Angeles County,0,5
1985,Los Angeles County,1,5
1985,Santa Clara County,2,38
1985,Los Angeles County,326,4101
1985,Los Angeles County,125,699
1985,Los Angeles County,1085,4724
1985,Los Angeles County,87,903
1985,Los Angeles County,618,2779
1985,Los Angeles County,479,6926
1985,Los Angeles County,192,1392
1985,Los Angeles County,152,562
1985,Los Angeles County,711,3832
1985,Los Angeles County,73,869
1985,Los Angeles County,0,21
1985,Los Angeles County,501,3085
1985,Los Angeles County,158,2321
1985,Los Angeles County,1891,6274
1985,Los Angeles County,41,241
1985,Los Angeles County,391,2866
1985,Los Angeles County,141,1182
1985,Los Angeles County,307,1417
1985,Los Angeles County,98,812
1985,Los Angeles County,254,1164
1985,Los Angeles County,132,575
1985,Los Angeles County,4134,26661
1985,Los Angeles County,52832,241572
1985,Los Angeles County,953,2549
1985,Los Angeles County,129,1650
1985,Los Angeles County,144,705
1985,Los Angeles County,269,1939
1985,Los Angeles County,322,2948
1985,Los Angeles County,285,2696
1985,Los Angeles County,649,3186
1985,Los Angeles County,267,1265
1985,Los Angeles County,17,197
1985,Los Angeles County,436,2152
1985,Los Angeles County,1488,9791
1985,Los Angeles County,412,1883
1985,Los Angeles County,1912,7793
1985,Los Angeles County,249,3245
1985,Los Angeles County,4,24
1985,Los Angeles County,20,278
1985,Los Angeles County,369,1948
1985,Los Angeles County,110,1036
1985,Los Angeles County,281,982
1985,Los Angeles County,253,1569
1985,Los Angeles County,20,318
1985,Los Angeles County,191,1527
1985,Los Angeles County,915,8880
1985,Los Angeles County,16,190
1985,Los Angeles County,59,649
1985,Los Angeles County,226,1048
1985,Los Angeles County,548,3280
1985,Los Angeles County,68,713
1985,Los Angeles County,66,857
1985,Los Angeles County,635,6543
1985,Los Angeles County,69,864
1985,Los Angeles County,55,510
1985,Los Angeles County,442,5109
1985,Los Angeles County,258,2827
1985,Los Angeles County,636,3911
1985,Los Angeles County,4,250
1985,Los Angeles County,77,674
1985,Los Angeles County,7,161
1985,Los Angeles County,16,630
1985,Los Angeles County,10,680
1985,Los Angeles County,3,427
1985,Los Angeles County,52,434
1985,Los Angeles County,311,2466
1985,Los Angeles County,40,2152
1985,Los Angeles County,95,725
1985,Los Angeles County,34,337
1985,Madera County,394,1641
1985,Madera County,25,336
1985,Madera County,191,1067
1985,Madera County,1,4
1985,Madera County,1,2
1985,Madera County,1,67
1985,Marin County,247,1721
1985,Marin County,2,63
1985,Marin County,5,222
1985,Marin County,51,729
1985,Marin County,25,588
1985,Marin County,68,1327
1985,Marin County,7,60
1985,Marin County,17,412
1985,Marin County,153,2230
1985,Marin County,11,355
1985,Marin County,16,209
1985,Marin County,0,1
1985,Marin County,2,55
1985,Marin County,3,26
1985,Marin County,0,104
1985,Mariposa County,34,200
1985,Mariposa County,0,14
1985,Mendocino County,170,1114
1985,Mendocino County,19,423
1985,Mendocino County,43,921
1985,Mendocino County,21,317
1985,Mendocino County,1,0
1985,Mendocino County,1,70
1985,Mendocino County,0,88
1985,Merced County,137,1389
1985,Merced County,64,852
1985,Merced County,15,154
1985,Merced County,4,76
1985,Merced County,29,192
1985,Merced County,64,729
1985,Merced County,192,3117
1985,Merced County,3,4
1985,Merced County,0,3
1985,Merced County,1,122
1985,Merced County,0,40
1985,Merced County,0,1
1985,Merced County,0,113
1985,Modoc County,23,111
1985,Modoc County,17,138
1985,Modoc County,0,3
1985,Modoc County,0,4
1985,Mono County,37,566
1985,Mono County,0,8
1985,Monterey County,287,2844
1985,Monterey County,12,340
1985,Monterey County,1,42
1985,Monterey County,22,257
1985,Monterey County,4,151
1985,Monterey County,69,289
1985,Monterey County,127,1999
1985,Monterey County,44,556
1985,Monterey County,634,7102
1985,Monterey County,0,8
1985,Monterey County,559,1450
1985,Monterey County,47,196
1985,Monterey County,45,478
1985,Monterey County,0,18
1985,Monterey County,1,9
1985,Monterey County,0,58
1985,Monterey County,2,45
1985,Monterey County,0,151
1985,Napa County,163,1047
1985,Napa County,22,159
1985,Napa County,271,3241
1985,Napa County,1,105
1985,Napa County,0,1
1985,Napa County,0,0
1986,Santa Clara County,2,39
1985,Napa County,0,110
1985,Nevada County,127,1451
1985,Nevada County,48,455
1985,Nevada County,27,192
1985,Nevada County,0,3
1985,Nevada County,0,18
1985,Nevada County,0,92
1985,Orange County,602,10082
1985,Orange County,1162,16409
1985,Orange County,173,1750
1985,Orange County,340,3321
1985,Orange County,456,5913
1985,Orange County,116,1669
1985,Orange County,38,440
1985,Orange County,159,2652
1985,Orange County,416,6213
1985,Orange County,823,8498
1985,Orange County,466,8033
1985,Orange County,73,1126
1985,Orange County,129,2132
1985,Orange County,32,546
1985,Orange County,152,4698
1985,Orange County,455,5354
1985,Orange County,96,1333
1985,Orange County,70,976
1985,Orange County,60,810
1985,Orange County,1558,20901
1985,Orange County,89,813
1985,Orange County,159,1411
1985,Orange County,346,2768
1985,Orange County,9,160
1985,Orange County,317,4061
1985,Orange County,82,678
1985,Orange County,120,3582
1985,Orange County,4,325
1985,Orange County,42,20
1985,Orange County,0,0
1985,Orange County,1,4
1985,Orange County,8,143
1985,Orange County,3,125
1985,Orange County,5,82
1985,Orange County,5,609
1985,Orange County,5,85
