Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Burlingame, California",11.7,36,18.2,56,30769.23077
2016,"Brentwood, California",10.2,62,13.7,83,60784.31373
2016,"Inglewood, California",15.6,175,19.5,219,112179.4872
2016,"Stockton, California",13.4,412,19.8,610,307462.6866
2016,"Montclair, California",12.0,47,17.4,68,39166.66667
2016,"Woodland, California",10.3,61,12.7,75,59223.30097
2016,"Huntington Beach, California",10.5,214,16.4,334,203809.5238
2016,"Santa Rosa, California",9.8,172,14.2,251,175510.2041
2016,"Modesto, California",10.1,214,14.1,300,211881.1881
2016,"Chico, California",9.4,86,15.0,137,91489.3617
2016,"Hemet, California",7.3,62,10.8,92,84931.50685
2016,"Yuba City, California",7.7,52,11.6,78,67532.46753
2016,"Santa Monica, California",21.7,204,39.8,374,94009.21659
2016,"San Luis Obispo, California",11.5,55,16.3,78,47826.08696
2016,"El Centro, California",10.9,48,16.1,71,44036.69725
2016,"Fairfield, California",10.0,114,14.8,169,114000.0
2016,"Oceanside, California",11.5,204,15.7,278,177391.3043
2016,"South Pasadena, California",13.3,35,18.7,49,26315.78947
2016,"Buena Park, California",9.7,81,14.4,121,83505.15464
2016,"Glendale, California",11.4,232,16.2,328,203508.7719
2016,"Redlands, California",11.2,80,16.5,118,71428.57143
2016,"Martinez, California",8.6,33,11.7,45,38372.09302
2016,"Monterey Park, California",11.2,69,15.9,98,61607.14286
2016,"Paso Robles, California",9.7,31,13.8,44,31958.76289
2016,"Whittier, California",13.7,120,19.0,167,87591.24088
2016,"Morgan Hill, California",8.9,39,13.4,59,43820.22472
2016,"Glendora, California",9.7,51,16.4,86,52577.31959
2016,"Carlsbad, California",9.0,103,13.0,150,114444.4444
2016,"Corona, California",9.5,158,13.5,225,166315.7895
2016,"Pacifica, California",8.3,33,8.8,35,39759.03614
2016,"West Covina, California",8.5,93,14.3,156,109411.7647
2016,"Santa Barbara, California",15.1,140,22.2,205,92715.23179
2016,"San Leandro, California",9.8,90,14.3,131,91836.73469
2016,"Rohnert Park, California",13.8,59,19.9,85,42753.62319
2016,"Culver City, California",25.1,100,38.4,153,39840.63745
2016,"Santa Paula, California",9.7,30,12.3,38,30927.83505
2016,"Pasadena, California",16.3,234,24.9,357,143558.2822
2016,"Gilroy, California",11.5,62,16.1,87,53913.04348
2016,"Cypress, California",10.7,53,13.9,69,49532.71028
2016,"Salinas, California",8.4,134,12.0,191,159523.8095
2016,"Napa, California",8.5,69,13.6,110,81176.47059
2016,"Anaheim, California",11.5,408,15.9,562,354782.6087
2016,"Watsonville, California",12.6,68,15.9,86,53968.25397
2016,"Downey, California",9.2,106,13.1,150,115217.3913
2016,"Redwood City, California",10.5,91,13.3,116,86666.66667
2016,"Cathedral City, California",9.0,49,13.6,74,54444.44444
2016,"Galt, California",12.9,33,19.1,49,25581.39535
2016,"Riverside, California",10.7,350,15.4,503,327102.8037
2016,"La Habra, California",11.0,69,15.8,99,62727.27273
2016,"San Bernardino, California",9.9,215,16.6,360,217171.7172
2016,"Sacramento, California",13.2,652,19.3,954,493939.3939
2016,"Huntington Park, California",8.5,51,14.4,86,60000.0
2016,"Vallejo, California",9.0,110,12.3,150,122222.2222
2016,"Richmond, California",16.0,177,21.8,242,110625.0
2016,"Santa Cruz, California",14.3,93,17.7,115,65034.96503
2016,"Placentia, California",8.5,45,12.9,68,52941.17647
2016,"West Sacramento, California",12.9,69,16.6,89,53488.37209
2016,"Manteca, California",7.7,59,11.2,86,76623.37662
2016,"Santa Maria, California",10.5,111,15.6,166,105714.2857
2016,"Ceres, California",9.5,46,12.8,62,48421.05263
2016,"Claremont, California",10.1,37,16.7,61,36633.66337
2016,"Redding, California",10.7,98,14.3,131,91588.78505
2016,"Hollister, California",7.1,27,8.7,33,38028.16901
2016,"Baldwin Park, California",8.4,65,12.7,98,77380.95238
2016,"Upland, California",9.0,69,12.5,96,76666.66667
2016,"Beverly Hills, California",33.4,117,52.5,184,35029.94012
2016,"Benicia, California",11.6,33,17.3,49,28448.27586
2016,"San Diego, California",12.8,"1,815",17.8,"2,522",1417968.75
2016,"Milpitas, California",10.6,85,13.6,109,80188.67925
2016,"Santa Clara, California",11.2,144,16.8,215,128571.4286
2016,"Hawthorne, California",9.9,88,15.2,136,88888.88889
2016,"San Bruno, California",11.2,49,14.9,65,43750.0
2016,"Fresno, California",14.3,748,19.3,"1,013",523076.9231
2016,"Visalia, California",10.3,135,15.2,200,131067.9612
2016,"Westminster, California",8.5,79,12.4,115,92941.17647
2016,"Campbell, California",10.1,42,16.2,67,41584.15842
2016,"Brea, California",14.4,61,22.4,95,42361.11111
2016,"Redondo Beach, California",13.4,92,20.9,143,68656.71642
2016,"Atwater, California",9.2,27,11.6,34,29347.82609
2016,"Alameda, California",10.2,81,13.8,110,79411.76471
2016,"Paradise, California",7.2,19,12.4,33,26388.88889
2016,"Tulare, California",11.4,72,17.3,109,63157.89474
2016,"Garden Grove, California",9.0,159,12.4,218,176666.6667
2016,"Alhambra, California",9.8,84,14.5,125,85714.28571
