"",,,,,,Non-,,Larceny,Larceny,,Motor,,FBI,California
"",Homicide,Rape,Robbery,Aggravated,Residential,residential,Total,over,$400 and,Total,vehicle,Arson,Crime,Crime
"",,,,assault,burglary,,burglary,,,larceny,,,,
"",,,,,,burglary,,$400,under,,theft,,Index,Index
Carlsbad,1,23,44,153,300,225,525,596,840,"1,436",124,10,"2,306",870
Chula Vista,2,29,248,316,607,364,971,"1,280","2,252","3,532",781,35,"5,879","2,347"
Coronado,0,2,4,5,41,16,57,224,246,470,28,4,566,96
El Cajon,2,29,143,212,301,192,493,568,"1,207","1,775",462,17,"3,116","1,341"
Escondido,6,39,201,350,431,286,717,870,"1,606","2,476",772,12,"4,561","2,085"
La Mesa,1,7,64,109,221,132,353,483,898,"1,381",233,3,"2,148",767
National City,1,11,137,165,115,173,288,454,735,"1,189",416,7,"2,207","1,018"
Oceanside,9,41,182,402,488,189,677,"1,219","2,198","3,417",400,24,"5,128","1,711"
San Diego,39,3 16,"1,456","3,492","4,045","2,310","6 ,355","8,956","10,274","19,230","6,143",178,"37,031","17,801"
Sheriff - Total,9,1 63,554,"2,131","2,056","1,285","3 ,341","3,313","4,857","8,170","1,798",49,"16,166","7,996"
Del Mar,0,1,3,12,14,20,34,84,50,134,11,0,195,61
Encinitas,1,9,21,96,148,110,258,367,385,752,71,1,"1,208",456
Imperial Beach,1,6,25,101,93,32,125,90,138,228,101,3,587,359
Lemon Grove,1,8,45,91,73,47,120,97,182,279,110,2,654,375
Poway,0,8,16,66,90,80,170,156,204,360,45,2,665,305
San Marcos,0,19,62,133,166,133,299,325,606,931,170,7,"1,614",683
Santee,0,5,31,120,81,89,170,278,610,888,107,3,"1,321",433
Solana Beach,0,1,5,21,62,31,93,103,77,180,21,0,321,141
Vista,1,28,140,276,183,207,390,442,884,"1,326",329,6,"2,490","1,164"
Unincorporated,5,7 8,206,"1,215","1,146",536,"1 ,682","1,371","1,721","3,092",833,25,"7,111","4,019"
4S Ranch,0,0,3,9,23,20,43,49,60,109,11,0,175,66
Alpine,0,3,7,48,79,40,119,94,128,222,45,0,444,222
Fallbrook,1,17,14,95,113,70,183,132,213,345,46,0,701,356
Lakeside,0,10,19,124,117,47,164,216,245,461,128,0,906,445
Ramona,0,5,5,68,53,41,94,64,104,168,34,0,374,206
Spring Valley,1,11,74,197,225,69,294,158,230,388,224,0,"1,189",801
Valley Center,1,3,12,61,75,61,136,111,93,204,36,0,453,249
Other Sheriff,0,7,6,249,2,4,6,4,14,18,81,0,367,349
California Highway Patrol,0,0,1,8,2,2,4,9,26,35,66,0,114,79
California State University San Marcos,0,1,0,3,2,7,9,17,39,56,1,0,70,14
San Diego State University,0,4,9,8,25,27,52,203,420,623,21,2,717,94
UC San Diego,0,2,1,4,14,45,59,293,400,693,22,1,781,88
San Diego Harbor Police,0,1,8,21,6,48,54,330,183,513,5,8,602,89
California State Parks,0,0,2,1,5,11,16,21,17,38,1,0,58,20
Total,70,6 68,"3,054","7,380","8,659","5,312","1  3,971","18,836","26,198","45,034","11,273",350,"81,450","36,416"
