,White,FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
,,,,,,,,,,,,,,,,,,,
Alameda,33.7,6001,California,Alameda County,1554720,762520,792200,407938,405572,258244,262785,521029,1033691,Yes,66.49%,198719,13%,352707,22.69%
Amador,80,6005,California,Amador County,37035,19898,17137,17806,15866,15232,14390,29622,7413,No,20.02%,868,2%,4691,12.67%
Butte,74.8,6007,California,Butte County,221539,109845,111694,95317,97500,80880,83885,164765,56774,No,25.63%,3816,2%,32875,14.84%
Calaveras,83.2,6009,California,Calaveras County,44742,22383,22359,20600,20639,18439,18679,37118,7624,No,17.04%,443,1%,4823,10.78%
Colusa,39,6011,California,Colusa County,21411,11046,10365,10173,9481,4101,4111,8212,13199,Yes,61.65%,249,1%,12113,56.57%
Contra Costa,47.2,6013,California,Contra Costa County,1079597,526925,552672,364406,372460,247731,258027,505758,573839,Yes,53.15%,104138,10%,267419,24.77%
Del Norte,64.2,6015,California,Del Norte County,28290,15670,12620,12198,10178,9126,8913,18039,10251,No,36.24%,1080,4%,5311,18.77%
El Dorado,79.7,6017,California,El Dorado County,180561,90306,90255,81812,81397,71969,71771,143740,36821,No,20.39%,1623,1%,22083,12.23%
Fresno,32.2,6019,California,Fresno County,947895,473456,474439,367392,366951,146956,155176,302132,645763,Yes,68.13%,55960,6%,485394,51.21%
Glenn,55.1,6021,California,Glenn County,27992,14130,13862,12738,12509,7571,7757,15328,12664,No,45.24%,301,1%,10826,38.68%
Humboldt,76.9,6023,California,Humboldt County,134827,67538,67289,57114,56754,51562,51540,103102,31725,No,23.53%,1788,1%,13831,10.26%
Kern,37.9,6029,California,Kern County,856158,439580,416578,365114,345087,161670,159881,321551,534607,Yes,62.44%,53833,6%,430807,50.32%
