FIPS,STNAME,CTYNAME,WHITE,HISPANIC,BLACK,BLACKQ,,ASIAN,MIXED,OTHER
,,,,,,,,,,
6001,California,Alameda County,33.7,22.1,12.1,121,10,26.8,4,1.4
6003,California,Alpine County,70.6,7.5,0.6,6,,1.5,0.3,19.5
6005,California,Amador County,80,12.4,2.5,25,,1.4,1.8,1.9
6007,California,Butte County,74.8,14.4,1.3,13,,4.3,4.2,0.9
6009,California,Calaveras County,83.2,10.6,0.9,9,,1.3,3.3,0.8
6011,California,Colusa County,39,55.9,0.9,9,,1.1,2.1,0.9
6013,California,Contra Costa County,47.2,24,9.1,91,,14.7,3.9,1
6015,California,Del Norte County,64.2,18.3,3.2,32,,2.5,7,4.8
6017,California,El Dorado County,79.7,12,0.9,9,,3.6,2.9,0.9
6019,California,Fresno County,32.2,50.4,5.1,51,,9.6,2,0.8
6021,California,Glenn County,55.1,38.1,0.8,8,,2.5,1.3,2.2
6023,California,Humboldt County,76.9,10,1.2,12,,2.3,3.7,5.9
6025,California,Imperial County,13.4,80.4,3.1,31,,1.5,0.7,0.9
6027,California,Inyo County,65.2,19.9,1,10,,1.5,1.5,11
6029,California,Kern County,37.9,49.4,5.6,56,,4.3,2,0.9
6031,California,Kings County,34.9,51.1,6.8,68,,3.7,2.3,1.3
6033,California,Lake County,73.5,17.5,2.4,24,,1.2,2,3.3
6035,California,Lassen County,66.3,17.7,8.4,84,,1.4,2.1,4.1
6037,California,Los Angeles County,27.5,47.5,8.4,84,,13.9,2.1,0.7
6039,California,Madera County,37.5,54,3.4,34,,2.1,1.5,1.6
6041,California,Marin County,72.7,15.3,2.9,29,,5.6,2.8,0.7
6043,California,Mariposa County,82.7,9.5,0.9,9,,1.1,3.1,2.8
6045,California,Mendocino County,67.7,22.6,0.7,7,,1.7,3.1,4
6047,California,Merced County,31.2,55.2,3.7,37,,7.6,1.6,0.7
6049,California,Modoc County,78.4,14.2,1.3,13,,0.3,3.1,2.7
6051,California,Mono County,67.5,26.7,0.4,4,,0.8,2.5,2
6053,California,Monterey County,32.5,55.4,3,30,,6.2,2.1,0.9
6055,California,Napa County,55.8,32.3,2.1,21,,7.1,2,0.7
6057,California,Nevada County,86.3,8.6,0.4,4,,1.5,2.2,1
6059,California,Orange County,43.5,33.6,1.6,16,,18.3,2.2,0.7
6061,California,Placer County,75.4,12.9,1.2,12,,6.3,3.3,0.9
6063,California,Plumas County,84.9,8.1,1.2,12,,0.8,1.8,3.2
6065,California,Riverside County,38.9,45.5,6.2,62,,6,2.3,1
6067,California,Sacramento County,47.9,21.2,10.1,101,,14.6,4.5,1.8
6069,California,San Benito County,37.5,56.3,1.3,13,,2,2.2,0.7
6071,California,San Bernardino County,32.5,49.3,8.7,87,,6.5,2.1,0.9
6073,California,San Diego County,48,31.9,5.1,51,,11.1,3,0.9
6075,California,San Francisco County,41.7,14.7,5.9,59,,33.3,3.3,1.1
6077,California,San Joaquin County,35.4,38.6,7.2,72,,14.3,3.4,1.1
6079,California,San Luis Obispo County,70.5,20.9,2.2,22,,3.5,2.3,0.7
6081,California,San Mateo County,41.9,24.8,2.7,27,,25.4,3.3,1.9
6083,California,Santa Barbara County,47.4,42.7,2,20,,5,2.1,0.8
6085,California,Santa Clara County,34.7,26.3,2.6,26,,32.6,3.1,0.8
6087,California,Santa Cruz County,59.2,32.1,1,10,,4.3,2.9,0.5
6089,California,Shasta County,82,8.6,1,10,,2.5,3.6,2.4
6091,California,Sierra County,87.2,9,0.6,6,,0.1,1.6,1.6
6093,California,Siskiyou County,79,10.8,1.3,13,,1.4,4.7,2.9
6095,California,Solano County,40.5,23.8,14,140,,14.7,5.5,1.5
6097,California,Sonoma County,65.8,24.9,1.6,16,,4,2.5,1.3
6099,California,Stanislaus County,46.1,42,2.8,28,,5.3,2.4,1.3
6101,California,Sutter County,49.8,28.8,1.8,18,,14.2,4,1.3
6103,California,Tehama County,71.3,22.4,0.7,7,,1.2,2.6,1.8
6105,California,Trinity County,83,7.2,1.1,11,,1.3,2,3.4
6107,California,Tulare County,31.9,60.7,1.7,17,,3.4,1.5,0.9
6109,California,Tuolumne County,81.3,10.8,2.1,21,,1.1,2.5,2.1
6111,California,Ventura County,48.1,40.3,1.8,18,,6.9,2.3,0.5
6113,California,Yolo County,49.4,30.1,2.5,25,,12.9,3.7,1.3
6115,California,Yuba County,57.9,25.7,3,30,,7.2,4.2,1.9
