Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Medina, Ohio",13.7,36,17.5,46,26277.37226
2016,"Elizabeth, New Jersey",22.7,293,30.1,388,129074.8899
2016,"Pasco, Washington",10,71,11.7,83,71000
2016,"Lake Jackson, Texas",15.9,44,21.3,59,27672.95597
2016,"Matthews, North Carolina",17.5,55,21.7,68,31428.57143
2016,"Abington Township, Pennsylvania",16.5,92,20.5,114,55757.57576
2016,"Burlingame, California",11.7,36,18.2,56,30769.23077
2016,"Bartlesville, Oklahoma",16.6,61,22.6,83,36746.98795
2016,"Stillwater, Oklahoma",14.5,72,22.4,111,49655.17241
2016,"Wake Forest, North Carolina",17,68,20.8,83,40000
2016,"Barberton, Ohio",16,42,16.8,44,26250
2016,"Owatonna, Minnesota",14,36,15.1,39,25714.28571
2016,"Yuma, Arizona",18,170,27.2,258,94444.44444
2016,"Chester, Pennsylvania",27.3,93,30.2,103,34065.93407
2016,"Brentwood, California",10.2,62,13.7,83,60784.31373
2016,"Cheyenne, Wyoming",15.9,102,19.2,123,64150.9434
2016,"Williamsport, Pennsylvania",17.5,51,18.9,55,29142.85714
2016,"Sioux Falls, South Dakota",13.6,239,15.8,276,175735.2941
2016,"St. Cloud, Florida",16.7,79,24.7,117,47305.38922
2016,"Troy, Ohio",16.3,42,17.1,44,25766.87117
2016,"Upper Dublin Township, Pennsylvania",15.2,40,17.5,46,26315.78947
2016,"Fond du Lac, Wisconsin",17,73,18.6,80,42941.17647
2016,"Cumberland, Rhode Island",12.4,43,15.6,54,34677.41935
2016,"Southgate, Michigan",12.3,36,13.7,40,29268.29268
2016,"Statesboro, Georgia",19.6,61,25.7,80,31122.44898
2016,"Webster Town and Village, New York",7.2,32,8.1,36,44444.44444
2016,"Marana, Arizona",20.6,88,27.1,116,42718.4466
2016,"Douglasville, Georgia",29.1,97,36.7,122,33333.33333
2016,"Middletown Township, New Jersey",17,112,20.5,135,65882.35294
2016,"Norfolk, Virginia",29.2,718,33,811,245890.411
2016,"Eau Claire, Wisconsin",14.5,99,19.7,134,68275.86207
2016,"Moore, Oklahoma",14.3,88,15.1,93,61538.46154
2016,"Deptford Township, New Jersey",21.1,64,22.7,69,30331.75355
2016,"Daytona Beach, Florida",33.3,218,38.2,250,65465.46547
2016,"Inglewood, California",15.6,175,19.5,219,112179.4872
2016,"Lower Makefield Township, Pennsylvania",11.6,38,12.8,42,32758.62069
2016,"Fort Lauderdale, Florida",28,508,36.5,662,181428.5714
2016,"Stockton, California",13.4,412,19.8,610,307462.6866
2016,"Montclair, California",12,47,17.4,68,39166.66667
2016,"Delaware, Ohio",13.5,52,15.3,59,38518.51852
2016,"Kannapolis, North Carolina",16.9,79,22.6,106,46745.56213
2016,"Decatur, Alabama",24,133,26.7,148,55416.66667
2016,"Watertown, New York",24.3,65,25.4,68,26748.97119
2016,"Ocoee, Florida",17,77,19.6,89,45294.11765
2016,"Brooklyn Center, Minnesota",15.5,48,19.4,60,30967.74194
2016,"Mason, Ohio",13.9,46,15.4,51,33093.52518
2016,"Tucson, Arizona",16.3,870,21.9,"1,168",533742.3313
2016,"Woodland, California",10.3,61,12.7,75,59223.30097
2016,"Rockledge, Florida",18.5,50,26.3,71,27027.02703
2016,"Logan, Utah",10.8,55,16.5,84,50925.92593
2016,"Evanston, Illinois",21.9,166,30,227,75799.08676
2016,"New Braunfels, Texas",16,117,19.4,142,73125
2016,"Fredericksburg, Virginia",22.9,66,31.6,91,28820.9607
2016,"Westfield, Indiana",11.8,45,13.1,50,38135.59322
2016,"Huntington Beach, California",10.5,214,16.4,334,203809.5238
2016,"Mount Pleasant, Wisconsin",18.3,48,20.2,53,26229.5082
2016,"Slidell, Louisiana",23.8,67,35.2,99,28151.2605
2016,"Long Beach, New York",20.2,68,25.3,85,33663.36634
2016,"Grand Forks, North Dakota",14.5,84,17.1,99,57931.03448
2016,"Ocala, Florida",27.1,159,39.4,231,58671.58672
2016,"Santa Rosa, California",9.8,172,14.2,251,175510.2041
2016,"Detroit, Michigan",35.1,"2,350",42.6,"2,855",669515.6695
2016,"Chesterfield, Missouri",18.8,90,20.9,100,47872.34043
2016,"Wethersfield, Connecticut",18.2,48,23.2,61,26373.62637
2016,"Oak Park, Michigan",16.4,49,20.4,61,29878.04878
2016,"Radnor Township, Pennsylvania",13.3,42,14.5,46,31578.94737
2016,"Bradenton, Florida",21.3,118,26.1,145,55399.06103
2016,"Poughkeepsie, New York",30.1,91,41.3,125,30232.55814
2016,"Modesto, California",10.1,214,14.1,300,211881.1881
2016,"Washington, Utah",9.4,24,10.2,26,25531.91489
2016,"Penn Hills, Pennsylvania",12,50,12.7,53,41666.66667
2016,"Suffolk, Virginia",20.6,182,27.5,243,88349.51456
2016,"Mount Olive Township, New Jersey",16.2,47,19.2,56,29012.34568
2016,"Bellevue, Washington",12.3,175,15.1,215,142276.4228
2016,"Valdosta, Georgia",24.2,135,28.1,157,55785.12397
2016,"St. Peters, Missouri",15.4,89,19.5,113,57792.20779
2016,"Winston-Salem, North Carolina",22,536,28.7,699,243636.3636
2016,"Cottonwood Heights, Utah",12.2,42,15.1,52,34426.22951
2016,"South Brunswick Township, New Jersey",17.4,80,23.1,106,45977.01149
2016,"Auburn, Alabama",17.2,110,18.2,116,63953.48837
2016,"Danbury, Connecticut",17.1,146,17.7,151,85380.11696
2016,"Belleville, New Jersey",30.6,111,33.1,120,36274.5098
2016,"Chico, California",9.4,86,15,137,91489.3617
2016,"Lawrenceville, Georgia",22.6,70,30.4,94,30973.45133
2016,"Canton Township, Michigan",9.1,82,13.2,119,90109.89011
2016,"Falmouth, Massachusetts",17.5,55,18.8,59,31428.57143
2016,"North Miami, Florida",18.1,114,25.4,160,62983.42541
2016,"Hemet, California",7.3,62,10.8,92,84931.50685
2016,"Cambridge, Massachusetts",24.9,277,29,322,111244.9799
2016,"Clermont, Florida",19.6,65,21.4,71,33163.26531
