"",,,,,,Non-,,Larceny,Larceny,,Motor,,,California
"",Homicide,Rape,Robbery,Aggravated,Residential,residential,Total,over,$400 and,Total,vehicle,Arson,FBI Crime,Crime
"",,,,assault,burglary,,burglary,,,larceny,,,Index,
"",,,,,,burglary,,$400,under,,theft,,,Index
Carlsbad,0,33,38,101,237,129,366,624,"1,003","1,627",141,8,"2,306",679
Chula Vista,6,63,239,397,533,177,710,"1,211","1,882","3,093",816,27,"5,324","2,231"
Coronado,0,5,1,20,30,25,55,143,164,307,17,3,405,98
El Cajon,2,50,107,201,198,189,387,510,"1,007","1,517",363,15,"2,627","1,110"
Escondido,7,48,176,298,268,211,479,768,"1,540","2,308",606,15,"3,922","1,614"
La Mesa,3,15,63,115,185,91,276,422,812,"1,234",230,4,"1,936",702
National City,2,16,142,163,85,98,183,296,646,942,324,14,"1,772",830
Oceanside,9,68,216,409,380,209,589,"1,217","2,324","3,541",467,15,"5,299","1,758"
San Diego,37,566,"1,378","3,601","3,609","1,520","5  ,129","8,435","10,498","18,933","5,096",174,"34,740","15,807"
Sheriff - Total,17,214,422,"1,552","1,437",995,"2  ,432","3,033","4,785","7,818","1,726",63,"14,181","6,363"
Del Mar,0,2,0,8,30,17,47,75,47,122,7,1,186,64
Encinitas,0,13,27,86,109,77,186,350,362,712,88,3,"1,112",400
Imperial Beach,0,5,16,67,50,26,76,85,129,214,69,1,447,233
Lemon Grove,0,12,53,96,32,19,51,66,285,351,92,2,655,304
Poway,1,6,13,24,66,49,115,142,225,367,30,2,556,189
San Marcos,3,17,34,117,124,153,277,334,662,996,243,2,"1,687",691
Santee,1,11,21,53,66,50,116,207,487,694,60,3,956,262
Solana Beach,0,1,2,12,41,26,67,100,91,191,32,2,305,114
Vista,2,37,95,209,194,150,344,452,876,"1,328",317,6,"2,332","1,004"
Unincorporated,10,110,161,880,725,428,"1  ,153","1,222","1,621","2,843",788,41,"5,945","3,102"
4S Ranch,0,1,1,3,30,11,41,45,35,80,15,0,141,61
Alpine,1,4,7,29,52,13,65,77,106,183,42,0,331,148
Fallbrook,0,9,15,112,91,69,160,148,243,391,72,0,759,368
Lakeside,2,11,22,89,80,59,139,128,208,336,82,0,681,345
Ramona,0,12,4,42,37,16,53,55,86,141,23,0,275,134
Spring Valley,1,25,59,172,121,54,84,175,271,446,221,0,"1,008",562
Valley Center,0,12,9,74,54,38,92,92,79,171,52,0,410,239
Other Sheriff,0,3,7,267,3,13,16,48,62,110,10,0,413,303
California Highway Patrol,0,0,0,12,1,2,3,6,31,37,68,0,120,83
California State University San Marcos,0,7,0,0,1,1,2,20,37,57,0,0,66,9
San Diego State University,0,12,5,9,15,17,32,112,288,400,25,0,483,83
UC San Diego,0,1,1,4,7,14,21,206,256,462,23,1,512,50
San Diego Harbor Police,1,2,10,74,4,49,53,316,197,513,3,2,656,143
California State Parks,0,0,0,0,5,9,14,9,7,16,4,0,34,18
Total,84,"1,100","2,798","6,956","6,995","3,736","1  0 ,731","17,328","25,477","42,805","9,909",341,"74,383","31,578"
