year,geo_name,geo,soc_name,soc,race_name,race,num_ppl,num_ppl_moe,avg_wage,avg_wage_moe
2014,"California","04000US06","General & operations managers","111021","White","1",79399,2183.89,105738.0,2800.55
2014,"California","04000US06","General & operations managers","111021","Black or African American","2",3564,550.289,88464.7,8471.97
2014,"California","04000US06","General & operations managers","111021","American Indian","3",358,159.572,134407.0,59096.8
2014,"California","04000US06","General & operations managers","111021","Alaska Native","4",10,18.7559,65547.6,0.0
2014,"California","04000US06","General & operations managers","111021","Other Native American","5",171,97.7938,56920.7,28289.9
2014,"California","04000US06","General & operations managers","111021","Asian","6",14594,925.638,109121.0,5592.85
2014,"California","04000US06","General & operations managers","111021","Native Hawaiian or Other Pacific Islander","7",458,192.515,76362.8,25099.3
2014,"California","04000US06","General & operations managers","111021","Unknown","8",6047,715.18,65309.7,5184.74
2014,"California","04000US06","General & operations managers","111021","Two or more races","9",3557,470.993,75234.7,8725.63
2014,"California","04000US06","Chief executives & legislators","1110XX","White","1",116767,3069.74,172772.0,3523.77
2014,"California","04000US06","Chief executives & legislators","1110XX","Black or African American","2",3059,602.523,127134.0,19111.2
2014,"California","04000US06","Chief executives & legislators","1110XX","American Indian","3",600,224.235,105509.0,36483.9
2014,"California","04000US06","Chief executives & legislators","1110XX","Other Native American","5",96,63.1474,149483.0,138294.0
2014,"California","04000US06","Chief executives & legislators","1110XX","Asian","6",17710,1222.43,150246.0,8371.12
2014,"California","04000US06","Chief executives & legislators","1110XX","Native Hawaiian or Other Pacific Islander","7",136,145.656,109404.0,76837.7
2014,"California","04000US06","Chief executives & legislators","1110XX","Unknown","8",3576,644.721,93441.3,15555.8
2014,"California","04000US06","Chief executives & legislators","1110XX","Two or more races","9",3314,449.97,145058.0,20550.2
2014,"California","04000US06","Advertising & promotions managers","112011","White","1",5386,646.16,96288.4,13547.5
2014,"California","04000US06","Advertising & promotions managers","112011","Black or African American","2",146,115.186,48708.6,6095.98
2014,"California","04000US06","Advertising & promotions managers","112011","American Indian","3",13,21.9624,171498.0,1.51397e-11
2014,"California","04000US06","Advertising & promotions managers","112011","Asian","6",875,277.724,81434.1,18980.4
2014,"California","04000US06","Advertising & promotions managers","112011","Unknown","8",168,119.458,79848.3,26089.6
2014,"California","04000US06","Advertising & promotions managers","112011","Two or more races","9",340,197.325,99458.0,55002.4
2014,"California","04000US06","Marketing & sales managers","112020","White","1",84240,2404.53,111236.0,2453.41
2014,"California","04000US06","Marketing & sales managers","112020","Black or African American","2",3955,581.809,77958.0,9173.61
2014,"California","04000US06","Marketing & sales managers","112020","American Indian","3",264,136.532,82808.2,13495.3
2014,"California","04000US06","Marketing & sales managers","112020","Alaska Native","4",27,42.6147,41802.6,6.55566e-12
2014,"California","04000US06","Marketing & sales managers","112020","Other Native American","5",117,80.7526,57256.6,17280.8
2014,"California","04000US06","Marketing & sales managers","112020","Asian","6",17356,1189.67,95728.9,4802.26
2014,"California","04000US06","Marketing & sales managers","112020","Native Hawaiian or Other Pacific Islander","7",312,183.657,78849.3,21507.4
2014,"California","04000US06","Marketing & sales managers","112020","Unknown","8",4222,713.294,66739.8,8270.36
2014,"California","04000US06","Marketing & sales managers","112020","Two or more races","9",3380,513.043,88543.2,11228.7
2014,"California","04000US06","Public relations & fundraising managers","112031","White","1",4911,690.677,102283.0,10697.3
2014,"California","04000US06","Public relations & fundraising managers","112031","Black or African American","2",421,187.431,73061.1,17609.4
2014,"California","04000US06","Public relations & fundraising managers","112031","Asian","6",474,190.002,84384.5,21142.3
2014,"California","04000US06","Public relations & fundraising managers","112031","Unknown","8",193,138.304,68659.0,16531.7
2014,"California","04000US06","Public relations & fundraising managers","112031","Two or more races","9",216,141.881,59386.1,30648.0
2014,"California","04000US06","Administrative services managers","113011","White","1",12207,920.264,75285.8,4098.76
2014,"California","04000US06","Administrative services managers","113011","Black or African American","2",909,297.279,62843.9,8096.36
2014,"California","04000US06","Administrative services managers","113011","American Indian","3",122,115.585,88259.5,64158.0
2014,"California","04000US06","Administrative services managers","113011","Alaska Native","4",18,29.8036,40961.5,7.08093e-12
2014,"California","04000US06","Administrative services managers","113011","Other Native American","5",11,19.5506,42014.8,0.0
2014,"California","04000US06","Administrative services managers","113011","Asian","6",1541,374.05,68667.8,7065.95
2014,"California","04000US06","Administrative services managers","113011","Native Hawaiian or Other Pacific Islander","7",50,63.4371,87949.8,27716.3
2014,"California","04000US06","Administrative services managers","113011","Unknown","8",982,301.04,59602.8,10138.1
2014,"California","04000US06","Administrative services managers","113011","Two or more races","9",382,169.849,58422.7,16396.4
2014,"California","04000US06","Computer & information systems managers","113021","White","1",38792,1376.45,123240.0,3059.0
2014,"California","04000US06","Computer & information systems managers","113021","Black or African American","2",2400,522.082,106567.0,13693.5
2014,"California","04000US06","Computer & information systems managers","113021","American Indian","3",188,128.611,70437.8,9903.38
2014,"California","04000US06","Computer & information systems managers","113021","Other Native American","5",52,57.1208,89741.5,52576.6
2014,"California","04000US06","Computer & information systems managers","113021","Asian","6",17627,1290.38,118320.0,4637.88
2014,"California","04000US06","Computer & information systems managers","113021","Native Hawaiian or Other Pacific Islander","7",313,193.765,94313.6,42780.2
2014,"California","04000US06","Computer & information systems managers","113021","Unknown","8",1299,333.789,77986.0,13666.7
2014,"California","04000US06","Computer & information systems managers","113021","Two or more races","9",1689,352.674,109624.0,20375.7
2014,"California","04000US06","Financial managers","113031","White","1",84126,2579.09,110338.0,3117.53
2014,"California","04000US06","Financial managers","113031","Black or African American","2",5272,765.843,78720.8,8345.11
2014,"California","04000US06","Financial managers","113031","American Indian","3",517,199.215,59192.4,11227.8
2014,"California","04000US06","Financial managers","113031","Other Native American","5",49,54.644,89031.3,61303.9
2014,"California","04000US06","Financial managers","113031","Asian","6",24057,1334.16,99197.7,4528.8
2014,"California","04000US06","Financial managers","113031","Native Hawaiian or Other Pacific Islander","7",446,207.978,79746.9,18786.5
2014,"California","04000US06","Financial managers","113031","Unknown","8",7643,877.198,63481.1,7369.04
2014,"California","04000US06","Financial managers","113031","Two or more races","9",3717,621.991,99875.5,16655.1
2014,"California","04000US06","Industrial production managers","113051","White","1",16348,1131.94,89671.8,3875.29
2014,"California","04000US06","Industrial production managers","113051","Black or African American","2",943,320.588,73283.9,14446.8
2014,"California","04000US06","Industrial production managers","113051","American Indian","3",39,48.2717,69918.3,60432.1
2014,"California","04000US06","Industrial production managers","113051","Other Native American","5",18,27.0851,101851.0,2.07308e-11
2014,"California","04000US06","Industrial production managers","113051","Asian","6",4593,609.522,95132.4,7495.15
2014,"California","04000US06","Industrial production managers","113051","Native Hawaiian or Other Pacific Islander","7",103,110.798,68715.1,15073.4
2014,"California","04000US06","Industrial production managers","113051","Unknown","8",2152,394.341,61672.6,7092.3
2014,"California","04000US06","Industrial production managers","113051","Two or more races","9",631,219.486,79388.9,17893.3
2014,"California","04000US06","Purchasing managers","113061","White","1",14465,975.852,90414.4,4812.25
2014,"California","04000US06","Purchasing managers","113061","Black or African American","2",1418,404.546,70630.5,7290.76
