year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2013,"California","04000US06","General Agriculture","010000","Bachelor's Degree","5",209
2013,"California","04000US06","General Agriculture Management","010101","Bachelor's Degree","5",285
2013,"California","04000US06","Other Agricultural Business & Management","010199","Bachelor's Degree","5",5
2013,"California","04000US06","General Agricultural Mechanization","010201","Bachelor's Degree","5",25
2013,"California","04000US06","Agroecology & Sustainable Agriculture","010308","Bachelor's Degree","5",5
2013,"California","04000US06","Viticulture & Enology","010309","Bachelor's Degree","5",90
2013,"California","04000US06","Ornamental Horticulture","010603","Bachelor's Degree","5",14
2013,"California","04000US06","International Agriculture","010701","Bachelor's Degree","5",14
2013,"California","04000US06","Agricultural Communication & Journalism","010802","Bachelor's Degree","5",7
2013,"California","04000US06","General Animal Sciences","010901","Bachelor's Degree","5",377
2013,"California","04000US06","Dairy Science","010905","Bachelor's Degree","5",15
2013,"California","04000US06","Other Animal Science","010999","Bachelor's Degree","5",28
2013,"California","04000US06","Food Science","011001","Bachelor's Degree","5",115
2013,"California","04000US06","Food Technology & Processing","011002","Bachelor's Degree","5",2
2013,"California","04000US06","General Plant Sciences","011101","Bachelor's Degree","5",32
2013,"California","04000US06","Agronomy & Crop Science","011102","Bachelor's Degree","5",24
2013,"California","04000US06","Horticultural Science","011103","Bachelor's Degree","5",12
2013,"California","04000US06","Plant Protection & Integrated Pest Management","011105","Bachelor's Degree","5",25
2013,"California","04000US06","Range Science & Management","011106","Bachelor's Degree","5",11
2013,"California","04000US06","General Soil Science & Agronomy","011201","Bachelor's Degree","5",3
2013,"California","04000US06","Other Agriculture, Operations, & Related Sciences","019999","Bachelor's Degree","5",24
2013,"California","04000US06","General Natural Resources & Conservation","030101","Bachelor's Degree","5",158
2013,"California","04000US06","Environmental Studies","030103","Bachelor's Degree","5",1150
2013,"California","04000US06","Environmental Science","030104","Bachelor's Degree","5",915
2013,"California","04000US06","Other Conservation & Natural Resource Research","030199","Bachelor's Degree","5",2
