Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees
2015,"Lakeville, Minnesota",8.7,53,10.2,62
2015,"Laredo, Texas",17.9,460,21,537
2015,"Jupiter, Florida",17.7,110,21.8,135
2015,"Canton Township, Michigan",9.3,83,13.3,119
2015,"Casper, Wyoming",15.6,96,18.9,116
2015,"Temple, Texas",19.9,143,23.5,169
2015,"New Britain, Connecticut",21.6,157,22.8,166
2015,"Clarkstown Town, New York",19.8,163,22.8,187
2015,"Shawnee, Kansas",12.6,82,15.5,101
2015,"Hayward, California",11.1,174,18.3,288
2015,"Sterling Heights, Michigan",11.5,152,13.2,175
2015,"Pawtucket, Rhode Island",19.3,138,23.7,170
2015,"Eau Claire, Wisconsin",14,95,19.5,133
2015,"Visalia, California",10.6,138,15.5,202
2015,"Orange, California",10.7,150,14.4,203
2015,"Hollywood, Florida",21,314,30,449
2015,"Springfield, Missouri",19.5,325,23.7,395
2015,"Kansas City, Missouri",28.7,"1,360",38.5,"1,824"
2015,"Wayne Township, New Jersey",20.7,114,26.3,145
2015,"Cathedral City, California",8.5,46,12.4,67
2015,"Columbia, South Carolina",26.6,352,32.8,434
2015,"St. Peters, Missouri",15.8,90,20.2,115
2015,"Boise, Idaho",12.6,275,16.5,361
2015,"Iowa City, Iowa",11,82,13.9,104
2015,"Framingham, Massachusetts",17.5,125,19.5,139
2015,"Plymouth, Massachusetts",18.4,108,21,123
2015,"Bellevue, Nebraska",17.6,96,20.1,110
2015,"Boston, Massachusetts",32.2,"2,139",40.4,"2,689"
2015,"Hanford, California",9.9,55,14.6,81
2015,"Monterey Park, California",11.2,69,15.5,96
2015,"Novi, Michigan",10.5,62,14,83
2015,"Glendale, California",11.7,236,16.8,339
2015,"Escondido, California",9.8,148,13,198
2015,"Kenosha, Wisconsin",20.3,203,21.5,215
2015,"Medford, Massachusetts",18.2,105,18.7,108
2015,"Marietta, Georgia",22,134,27.9,170
2015,"Pocatello, Idaho",16.4,89,23.9,130
2015,"Minneapolis, Minnesota",20.1,831,24.5,"1,014"
2015,"Alpharetta, Georgia",16.9,109,21.7,140
2015,"Cicero, Illinois",18.4,155,21.5,181
2015,"Normal, Illinois",14.7,81,16.7,92
2015,"Mount Vernon, New York",28.4,195,39.3,270
2015,"Shelby Township, Michigan",7.7,60,10.2,79
2015,"Athens-Clarke County, Georgia",18.9,229,24.2,292
2015,"Palm Beach Gardens, Florida",20.5,108,29.9,158
2015,"Pembroke Pines, Florida",14.7,246,19.7,330
2015,"Santa Clara, California",11.6,143,16.2,200
2015,"Franklin, Tennessee",16.9,123,20.5,149
2015,"Mesa, Arizona",16.8,789,25.3,"1,192"
2015,"Manchester, Connecticut",18.6,108,23.8,138
2015,"Pasadena, California",15.6,221,23.5,333
2015,"Fullerton, California",9.9,140,14.4,203
2015,"Medford, Oregon",12.5,99,17,135
2015,"Seattle, Washington",19.7,"1,350",28.1,"1,919"
2015,"Missouri City, Texas",12.9,94,18,131
2015,"Cape Coral, Florida",12.8,223,17.7,308
2015,"Ann Arbor, Michigan",9.9,117,12,143
2015,"Grand Junction, Colorado",18.3,111,33.7,204
2015,"Great Falls, Montana",14.3,85,21.6,128
2015,"Lakewood, Ohio",18.6,94,22.9,116
2015,"Scranton, Pennsylvania",20,150,22.6,170
2015,"Warwick, Rhode Island",20.2,165,26.4,216
2015,"North Charleston, South Carolina",29.3,320,36.2,395
2015,"Trenton, New Jersey",28.6,239,37.7,315
2015,"Dearborn Heights, Michigan",14.6,82,17.6,99
2015,"Pomona, California",10,154,16.4,253
2015,"St. Petersburg, Florida",20.6,528,28.7,735
2015,"New York, New York",41.4,"35,395",58.9,"50,366"
2015,"El Paso, Texas",14.7,"1,010",18.4,"1,264"
2015,"Coon Rapids, Minnesota",9.8,61,11.1,69
2015,"Anaheim, California",11.4,399,16.5,577
2015,"El Cajon, California",11.4,118,17.4,181
2015,"Waltham, Massachusetts",22.3,142,26.7,170
2015,"Tyler, Texas",18.1,186,22.8,234
2015,"Terre Haute, Indiana",21.6,132,23.1,141
2015,"Vineland, New Jersey",21.2,130,25.5,156
2015,"Downey, California",9.5,109,12.8,147
2015,"La Crosse, Wisconsin",17.3,91,20.3,107
2015,"Hoover, Alabama",18.7,159,25.7,219
2015,"Portland, Oregon",14.5,908,18.3,"1,150"
2015,"Tucson, Arizona",17.6,932,23.1,"1,222"
2015,"Santa Ana, California",9,302,15.6,527
2015,"Gilbert, Arizona",9.1,225,13.6,336
2015,"Council Bluffs, Iowa",17.7,110,20.9,130
2015,Las Vegas Metropolitan Police,20.9,"3,264",30.9,"4,825"
2015,"Kirkland, Washington",10.9,95,15.1,131
2015,"Federal Way, Washington",13.1,124,16.2,153
2015,"Norman, Oklahoma",14.4,172,19.1,229
2015,"Baytown, Texas",20.2,156,27,208
2015,"Harrisonburg, Virginia",17.3,92,21.2,113
2015,"Chico, California",9.8,88,15,135
2015,"West Haven, Connecticut",22.5,123,24.5,134
2015,"Concord, California",11.8,152,16,206
2015,"Rio Rancho, New Mexico",26.3,251,47.2,450
2015,"Yuba City, California",8.2,54,11.8,78
2015,"Santa Cruz, California",14.2,91,17.3,111
2015,"Stamford, Connecticut",21.6,280,25.8,334
2015,"Smyrna, Georgia",15.9,89,24.2,135
2015,"Gainesville, Florida",22,285,26.6,344
2015,"Riverside, California",11.4,368,15.9,515
2015,"Tonawanda Town, New York",17.8,103,25.9,150
2015,"Plano, Texas",12.3,348,20.1,570
2015,"Vancouver, Washington",10.9,187,12.2,208
2015,"South San Francisco, California",11.9,81,16.2,110
2015,"Woodbridge Township, New Jersey",19.1,193,25.3,255
2015,"Gardena, California",15.1,92,19.2,117
2015,"San Diego, California",13.5,"1,887",18.2,"2,545"
2015,"Joplin, Missouri",20.4,105,29.4,151
2015,"Tuscaloosa, Alabama",28.4,277,36.2,353
2015,"State College, Pennsylvania",10.7,62,12.5,72
2015,"Lawrence, Massachusetts",16.1,127,18.6,146
2015,"Tempe, Arizona",20.2,354,27.9,490
2015,"Millcreek Township, Erie County, Pennsylvania",11.5,62,13.9,75
2015,"Long Beach, California",16.2,771,23.6,"1,123"
2015,"Doral, Florida",21.6,122,28.9,163
2015,"Vallejo, California",8.9,108,12,145
2015,"Westminster, California",9.3,86,12.8,119
2015,"Palm Bay, Florida",13.7,146,20.5,218
2015,"Boulder, Colorado",16.6,177,25.4,271
2015,"Jackson, Tennessee",31.7,214,38.3,258
2015,"Newton, Massachusetts",15.5,138,20.2,180
2015,"Antioch, California",8.2,91,10.4,115
2015,"Midwest City, Oklahoma",16.1,93,21.5,124
2015,"Edina, Minnesota",10.2,51,14.2,71
2015,"North Bergen Township, New Jersey",18.6,117,20.2,127
2015,"Lansing, Michigan",15.5,178,17.8,204
2015,Charlotte-Mecklenburg Police,21,"1,840",26.5,"2,329"
2015,"Bristol, Connecticut",19.6,119,23.9,145
2015,"Middletown Township, New Jersey",15.6,103,19.3,127
2015,"Victoria, Texas",16.4,110,21.5,144
2015,"Cranston, Rhode Island",18.1,147,21.7,176
2015,"Modesto, California",10.2,216,14,295
2015,"Thornton, Colorado",11.8,157,17.6,235
2015,"Commerce City, Colorado",17.3,92,21.6,115
2015,"Billings, Montana",12.3,135,14.6,161
2015,"Idaho Falls, Idaho",13.7,81,20.6,122
2015,"Waterford Township, Michigan",7.1,52,9,66
2015,"Brooklyn Park, Minnesota",13.3,106,17.2,137
2015,"Folsom, California",8.8,67,11.7,89
2015,"Pleasanton, California",9.9,79,13.9,111
2015,"San Angelo, Texas",15.5,156,18.5,186
2015,"Auburn, Alabama",16.9,105,17.9,111
2015,"Chandler, Arizona",13.3,345,19.6,508
2015,"Goodyear, Arizona",11.7,92,16.1,126
2015,"Raleigh, North Carolina",17,761,19.1,856
2015,"Vacaville, California",9.9,96,15.4,149
2015,"Clovis, California",9.3,96,14.9,155
2015,"Newark, New Jersey",36.8,"1,033",42.8,"1,203"
2015,"Sugar Land, Texas",16.9,150,19.4,172
2015,"Ames, Iowa",8.1,52,11.5,74
2015,"Alexandria, Virginia",20,306,26.3,401
2015,"Lancaster, Pennsylvania",23.9,142,27.2,161
2015,"Bend, Oregon",10,86,13.1,113
2015,"Longmont, Colorado",15,137,22.3,203
2015,"Hamden, Connecticut",17.4,107,21.5,132
2015,"Irvington, New Jersey",27.9,152,32.4,177
2015,"Lake Havasu City, Arizona",13.3,71,20.3,108
2015,"Chino, California",12.2,105,18,155
2015,"Arlington Heights, Illinois",13.4,102,17.2,131
2015,"Broomfield, Colorado",16.1,103,30,192
2015,"Houston, Texas",22.8,"5,178",28.9,"6,577"
2015,"Hillsboro, Oregon",12.6,128,17,172
2015,Nashville Metropolitan Police,21.3,"1,404",26.5,"1,742"
2015,"Jacksonville, North Carolina",16.6,114,21.1,145
2015,"Concord, North Carolina",18.9,165,22,192
2015,"Suffolk, Virginia",20.9,182,26.9,234
2015,"Delano, California",9.7,51,12.9,68
2015,"Port Arthur, Texas",23.3,127,29.5,161
2015,"Redmond, Washington",13,79,20.5,124
2015,"Boynton Beach, Florida",19.5,145,27.6,205
2015,"Kettering, Ohio",14.9,83,19.8,110
2015,"Torrance, California",14.2,212,21,314
2015,"Portsmouth, Virginia",25.1,241,34.1,327
2015,"Little Rock, Arkansas",26.8,532,32.5,646
2015,"Gloucester Township, New Jersey",19.9,127,23.5,150
2015,"Alameda, California",10.6,83,14.2,112
2015,"West Palm Beach, Florida",26.3,276,34.9,366
2015,"Richland, Washington",11.3,61,14,76
2015,"Santa Monica, California",21.6,203,39.8,373
2015,"Dallas, Texas",26.8,"3,484",31,"4,040"
2015,"Fayetteville, North Carolina",18.4,377,28.3,579
2015,"Blue Springs, Missouri",17.8,96,25.5,137
2015,"Sacramento, California",13.2,646,19.4,949
2015,"Indianapolis, Indiana",18.3,"1,578",20.6,"1,776"
2015,"McAllen, Texas",18.9,266,28.7,403
2015,"Yuma, Arizona",17.6,165,27.8,261
2015,"Milwaukee, Wisconsin",31.4,"1,886",41.9,"2,518"
2015,"Flagstaff, Arizona",16.4,114,23.6,164
2015,"Ogden, Utah",15.1,128,18.8,159
2015,"Albany, New York",33.9,335,43.8,433
2015,"Layton, Utah",10.5,77,14.6,107
2015,"Chapel Hill, North Carolina",17.2,103,20.5,123
2015,"Yakima, Washington",14.8,139,19.6,184
2015,"Syracuse, New York",28.7,414,33.5,482
2015,"Piscataway Township, New Jersey",14.1,84,17.3,103
2015,"Springfield, Ohio",20.7,124,23.1,138
