Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Holyoke, Massachusetts"	29.5	120	35.3	144	
2016	"Reynoldsburg, Ohio"	14.2	53	19	71	
2016	"Gahanna, Ohio"	15.2	53	19.5	68	
2016	"Pharr, Texas"	16.1	125	21.1	164	
2016	"Rochester, New Hampshire"	18.3	55	22.6	68	
2016	"Melbourne, Florida"	18.8	152	26.1	211	
2016	"Berkeley Township, New Jersey"	15.8	66	21.1	88	
2016	"Madison, Wisconsin"	18.9	476	23	580	
2016	"Richfield, Minnesota"	11.5	42	13.7	50	
2016	"Watertown, New York"	24.3	65	25.4	68	
2016	"Van Buren Township, Michigan"	14.2	40	19.6	55	
2016	"Vestal Town, New York"	12	34	13.1	37	
2016	"Central Marin, California"	11.6	41	13	46	1
2016	"Opelika, Alabama"	27.8	84	34.5	104	
2016	"Brookline, Massachusetts"	21.9	129	26.9	159	
2016	"East Fishkill Town, New York"	9.9	29	13	38	
2016	"Provo, Utah"	8.9	103	12.9	149	
2016	"Erie, Pennsylvania"	17.1	169	19.3	191	
2016	"Waltham, Massachusetts"	22.5	143	26.7	170	
2016	"Cleveland Heights, Ohio"	21.3	95	23.3	104	
2016	"New Britain, Connecticut"	22.1	161	23.2	169	
2016	"Attleboro, Massachusetts"	17.9	79	20.6	91	
2016	"Linden, New Jersey"	30.2	127	36.3	153	
2016	"Brookfield, Wisconsin"	18.4	70	23.1	88	
2016	"Oak Creek, Wisconsin"	15.8	56	22.1	78	
2016	"Charlotte-Mecklenburg, North Carolina"	19.4	"1,743"	25.7	"2,302"	
2016	"Fort Worth, Texas"	18.4	"1,566"	23.6	"2,007"	
2016	"Lincoln Park, Michigan"	10.9	40	12.5	46	
2016	"Eastpointe, Michigan"	11.3	37	12.5	41	
2016	"Grove City, Ohio"	15.2	61	19.4	78	
2016	"Foster City, California"	10.6	36	14.7	50	2
2016	"Greensboro, North Carolina"	23.6	681	27.2	786	
2016	"Lancaster, Texas"	12.2	48	14.5	57	
2016	"South Salt Lake, Utah"	22.8	57	27.2	68	
2016	"Plum, Pennsylvania"	8.7	24	10.9	30	
2016	"Alexandria, Virginia"	20.4	317	26.3	409	
2016	"Redmond, Washington"	12.8	79	19.9	123	
2016	"New Windsor Town, New York"	14.2	38	17.9	48	
2016	"Hoover, Alabama"	19.3	165	26.5	227	
2016	"West Allis, Wisconsin"	20.8	126	25.3	153	
2016	"Bend, Oregon"	9.7	87	12.9	115	
2016	"Westerville, Ohio"	19.1	74	26.3	102	
2016	"Neenah, Wisconsin"	15.9	41	19.7	51	
2016	"Las Cruces, New Mexico"	17.8	182	25	256	
2016	"Horn Lake, Mississippi"	18.5	50	24.7	67	
2016	"Coon Rapids, Minnesota"	10.1	63	11.2	70	
2016	"Port St. Lucie, Florida"	12.6	229	15.8	289	
